tmdb_id;title;year;runtime;rating;cast;genres
"670";"Oldboy";2003;120;83;Choi Min-sik|Yoo Ji-tae|Kang Hye-jung|Kim Byeong-ok|Ji Dae-han|Oh Dal-su|Lee Seung-shin|Yoon Jin-seo|Oh Tae-kyung;Drama|Thriller|Mystery|Action
"265177";"Mommy";2014;138;83;Anne Dorval|Antoine Olivier Pilon|Suzanne Clément|Alexandre Goyette|Michèle Lituac|Viviane Pacal|Natalie Hamel-Roy|Isabelle Nélisse|Patrick Huard;Drama
"299534";"Avengers: Endgame";2019;181;83;Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Don Cheadle|Paul Rudd|Benedict Cumberbatch;Adventure|Science_Fiction|Action
"299536";"Avengers: Infinity War";2018;149;83;Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Benedict Cumberbatch|Tom Holland|Chadwick Boseman|Don Cheadle;Adventure|Action|Science_Fiction
"635302";"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train";2020;117;83;Natsuki Hanae|Akari Kito|Hiro Shimono|Yoshitsugu Matsuoka|Satoshi Hino|Takahiro Sakurai|Katsuyuki Konishi|Saori Hayami|Kenichi Suzumura;Animation|Action|Adventure|Fantasy|Thriller
"575813";"Better Days";2019;135;83;Zhou Dongyu|Jackson Yee|Yin Fang|Huang Jue|Wu Yue|Zhou Ye|Zhang Xin Yi|Zhao Runnan|Zhang Yao;Drama
"508965";"Klaus";2019;96;83;Jason Schwartzman|J.K. Simmons|Rashida Jones|Joan Cusack|Norm Macdonald|Will Sasso|Sergio Pablos;Animation|Family|Adventure|Comedy|Fantasy
"8587";"The Lion King";1994;89;83;Jonathan Taylor Thomas|Matthew Broderick|James Earl Jones|Jeremy Irons|Moira Kelly|Ernie Sabella|Nathan Lane|Robert Guillaume|Rowan Atkinson;Family|Animation|Drama
"1585";"It's a Wonderful Life";1946;130;83;James Stewart|Donna Reed|Lionel Barrymore|Thomas Mitchell|Henry Travers|Beulah Bondi|Frank Faylen|Ward Bond|Gloria Grahame;Drama|Family|Fantasy
"797";"Persona";1966;83;82;Bibi Andersson|Liv Ullmann|Margaretha Krook|Gunnar Björnstrand|Jörgen Lindström;Drama
